timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839257981,408,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-19,text,true,,316711,123,20,21,https://vnexpress.net/the-thao,372,0,0
1768839258224,172,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-7,text,true,,316391,123,20,21,https://vnexpress.net/the-thao,106,0,0
1768839258286,121,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-4,text,true,,276880,125,20,21,https://vnexpress.net/kinh-doanh,86,0,0
1768839258290,123,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-6,text,true,,276904,125,20,21,https://vnexpress.net/kinh-doanh,87,0,0
1768839258287,132,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-15,text,true,,316345,123,20,21,https://vnexpress.net/the-thao,102,0,0
1768839258230,200,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-9,text,true,,316406,123,20,21,https://vnexpress.net/the-thao,100,0,0
1768839258023,413,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-17,text,true,,316331,123,20,21,https://vnexpress.net/the-thao,381,0,0
1768839258329,142,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-2,text,true,,276880,125,20,21,https://vnexpress.net/kinh-doanh,101,0,0
1768839258341,138,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-16,text,true,,276716,125,20,21,https://vnexpress.net/kinh-doanh,97,0,0
1768839258134,347,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-8,text,true,,276887,125,20,21,https://vnexpress.net/kinh-doanh,304,0,0
1768839258341,147,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-1,text,true,,316485,123,20,21,https://vnexpress.net/the-thao,100,0,0
1768839258351,142,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-18,text,true,,316779,123,20,21,https://vnexpress.net/the-thao,96,0,0
